//mode,create,,,,,,,,,,,,,,,,,,
Apartments,id,number,type,nameKey,descriptionKey,addressKey,size,featuresKeys,,,,,,,,,,,
,6,2019-03-23,1,TRUE,30000,UAH,1,*order41,,,,,,,,,,,
,6,2019-03-24,1,TRUE,30000,UAH,1,*order42,,,,,,,,,,,
,6,2019-03-25,1,TRUE,30000,UAH,1,*order42,,,,,,,,,,,
,6,2019-03-26,1,TRUE,30000,UAH,1,*order43,,,,,,,,,,,
,6,2019-03-27,1,TRUE,30000,UAH,1,*order43,,,,,,,,,,,
,6,2019-03-28,1,TRUE,30000,UAH,1,*order44,,,,,,,,,,,
,6,2019-03-29,1,TRUE,30000,UAH,1,*order44,,,,,,,,,,,
,6,2019-03-30,1,TRUE,30000,UAH,1,*order45,,,,,,,,,,,
,6,2019-03-31,1,TRUE,30000,UAH,1,*order45,,,,,,,,,,,
,6,2019-04-01,1,TRUE,30000,UAH,1,*order46,,,,,,,,,,,
,6,2019-04-02,1,TRUE,30000,UAH,1,*order46,,,,,,,,,,,
,6,2019-04-03,1,TRUE,30000,UAH,1,*order47,,,,,,,,,,,
,6,2019-04-04,1,TRUE,30000,UAH,1,*order47,,,,,,,,,,,
,6,2019-04-05,1,TRUE,30000,UAH,1,*order48,,,,,,,,,,,
,6,2019-04-06,1,TRUE,30000,UAH,1,*order48,,,,,,,,,,,
,6,2019-04-07,1,TRUE,30000,UAH,1,*order49,,,,,,,,,,,
,6,2019-04-08,1,TRUE,30000,UAH,1,*order49,,,,,,,,,,,
,6,2019-04-09,1,TRUE,30000,UAH,1,*order50,,,,,,,,,,,
,6,2019-04-10,1,TRUE,30000,UAH,1,*order50,,,,,,,,,,,
,6,2019-04-11,1,TRUE,30000,UAH,1,*order51,,,,,,,,,,,
,6,2019-04-12,1,TRUE,30000,UAH,1,*order51,,,,,,,,,,,
,6,2019-04-13,1,TRUE,30000,UAH,1,*order52,,,,,,,,,,,
,6,2019-04-14,1,TRUE,30000,UAH,1,*order52,,,,,,,,,,,
,6,2019-04-15,1,TRUE,30000,UAH,1,*order53,,,,,,,,,,,
,6,2019-04-16,1,TRUE,30000,UAH,1,*order53,,,,,,,,,,,
,6,2019-04-17,1,TRUE,30000,UAH,1,*order54,,,,,,,,,,,
,6,2019-04-18,1,TRUE,30000,UAH,1,*order54,,,,,,,,,,,
,6,2019-04-19,1,TRUE,30000,UAH,1,*order55,,,,,,,,,,,
,6,2019-04-20,1,TRUE,30000,UAH,1,*order55,,,,,,,,,,,
,6,2019-04-21,1,TRUE,30000,UAH,1,*order56,,,,,,,,,,,
,6,2019-04-22,1,TRUE,30000,UAH,1,*order56,,,,,,,,,,,
,6,2019-04-23,1,TRUE,30000,UAH,1,*order57,,,,,,,,,,,
,6,2019-04-24,1,TRUE,30000,UAH,1,*order57,,,,,,,,,,,
,6,2019-04-25,1,TRUE,30000,UAH,1,*order58,,,,,,,,,,,
,6,2019-04-26,1,TRUE,30000,UAH,1,*order58,,,,,,,,,,,
,6,2019-04-27,1,TRUE,30000,UAH,1,*order59,,,,,,,,,,,
,6,2019-04-28,1,TRUE,30000,UAH,1,*order59,,,,,,,,,,,
,6,2019-04-29,1,TRUE,30000,UAH,1,*order60,,,,,,,,,,,
,6,2019-04-30,1,TRUE,30000,UAH,1,*order60,,,,,,,,,,,
,6,2019-05-01,1,TRUE,30000,UAH,1,*order61,,,,,,,,,,,
,6,2019-05-02,1,TRUE,30000,UAH,1,*order61,,,,,,,,,,,
,6,2019-05-03,1,TRUE,30000,UAH,1,*order62,,,,,,,,,,,
,6,2019-05-04,1,TRUE,30000,UAH,1,*order62,,,,,,,,,,,
,6,2019-05-05,1,TRUE,30000,UAH,1,*order63,,,,,,,,,,,
,6,2019-05-06,1,TRUE,30000,UAH,1,*order63,,,,,,,,,,,
,6,2019-05-07,1,TRUE,30000,UAH,1,*order64,,,,,,,,,,,
,6,2019-05-08,1,TRUE,30000,UAH,1,*order64,,,,,,,,,,,
,6,2019-05-09,1,TRUE,30000,UAH,1,*order65,,,,,,,,,,,
,6,2019-05-10,1,TRUE,30000,UAH,1,*order65,,,,,,,,,,,
,6,2019-05-11,1,TRUE,30000,UAH,1,*order66,,,,,,,,,,,
,6,2019-05-12,1,TRUE,30000,UAH,1,*order66,,,,,,,,,,,
,6,2019-05-13,1,TRUE,30000,UAH,1,*order67,,,,,,,,,,,
,6,2019-05-14,1,TRUE,30000,UAH,1,*order67,,,,,,,,,,,
,6,2019-05-15,1,TRUE,30000,UAH,1,*order68,,,,,,,,,,,
,6,2019-05-16,1,TRUE,30000,UAH,1,*order68,,,,,,,,,,,
,6,2019-05-17,1,TRUE,30000,UAH,1,*order69,,,,,,,,,,,
,6,2019-05-18,1,TRUE,30000,UAH,1,*order69,,,,,,,,,,,
,6,2019-05-19,1,TRUE,30000,UAH,1,*order70,,,,,,,,,,,
,6,2019-05-20,1,TRUE,30000,UAH,1,*order70,,,,,,,,,,,
,6,2019-05-21,1,TRUE,30000,UAH,1,*order71,,,,,,,,,,,
,6,2019-05-22,1,TRUE,30000,UAH,1,*order71,,,,,,,,,,,
,6,2019-05-23,1,TRUE,30000,UAH,1,*order72,,,,,,,,,,,
,6,2019-05-24,1,TRUE,30000,UAH,1,*order72,,,,,,,,,,,
,6,2019-05-25,1,TRUE,30000,UAH,1,*order73,,,,,,,,,,,
,6,2019-05-26,1,TRUE,30000,UAH,1,*order73,,,,,,,,,,,
,6,2019-05-27,1,TRUE,30000,UAH,1,*order74,,,,,,,,,,,
,6,2019-05-28,1,TRUE,30000,UAH,1,*order74,,,,,,,,,,,
,6,2019-05-29,1,TRUE,30000,UAH,1,*order75,,,,,,,,,,,
,6,2019-05-30,1,TRUE,30000,UAH,1,*order75,,,,,,,,,,,
,6,2019-05-31,1,TRUE,30000,UAH,1,*order76,,,,,,,,,,,
,6,2019-06-01,1,TRUE,30000,UAH,1,*order76,,,,,,,,,,,
,6,2019-06-02,1,TRUE,30000,UAH,1,*order77,,,,,,,,,,,
,6,2019-06-03,1,TRUE,30000,UAH,1,*order77,,,,,,,,,,,
,6,2019-06-04,1,TRUE,30000,UAH,1,*order78,,,,,,,,,,,
,6,2019-06-05,1,TRUE,30000,UAH,1,*order78,,,,,,,,,,,
,6,2019-06-06,1,TRUE,30000,UAH,1,*order79,,,,,,,,,,,
,6,2019-06-07,1,TRUE,30000,UAH,1,*order79,,,,,,,,,,,
,6,2019-06-08,1,TRUE,30000,UAH,1,*order80,,,,,,,,,,,
,6,2019-06-09,1,TRUE,30000,UAH,1,*order80,,,,,,,,,,,
,6,2019-06-10,1,TRUE,30000,UAH,1,*order81,,,,,,,,,,,
,6,2019-06-11,1,TRUE,30000,UAH,1,*order81,,,,,,,,,,,
,6,2019-06-12,1,TRUE,30000,UAH,1,*order82,,,,,,,,,,,
,6,2019-06-13,1,TRUE,30000,UAH,1,*order82,,,,,,,,,,,
,6,2019-06-14,1,TRUE,30000,UAH,1,*order83,,,,,,,,,,,
,6,2019-06-15,1,TRUE,30000,UAH,1,*order83,,,,,,,,,,,
,6,2019-06-16,1,TRUE,30000,UAH,1,*order84,,,,,,,,,,,
,6,2019-06-17,1,TRUE,30000,UAH,1,*order84,,,,,,,,,,,
,6,2019-06-18,1,TRUE,30000,UAH,1,*order85,,,,,,,,,,,
,6,2019-06-19,1,TRUE,30000,UAH,1,*order85,,,,,,,,,,,
,6,2019-06-20,1,TRUE,30000,UAH,1,*order86,,,,,,,,,,,
,6,2019-06-21,1,TRUE,30000,UAH,1,*order86,,,,,,,,,,,
,6,2019-06-22,1,TRUE,30000,UAH,1,*order87,,,,,,,,,,,
,6,2019-06-23,1,TRUE,30000,UAH,1,*order87,,,,,,,,,,,
,6,2019-06-24,1,TRUE,30000,UAH,1,*order88,,,,,,,,,,,
,6,2019-06-25,1,TRUE,30000,UAH,1,*order88,,,,,,,,,,,
,6,2019-06-26,1,TRUE,30000,UAH,1,*order89,,,,,,,,,,,
,6,2019-06-27,1,TRUE,30000,UAH,1,*order89,,,,,,,,,,,
,6,2019-06-28,1,TRUE,30000,UAH,1,*order90,,,,,,,,,,,
,6,2019-06-29,1,TRUE,30000,UAH,1,*order90,,,,,,,,,,,
,6,2019-06-30,1,TRUE,30000,UAH,1,*order91,,,,,,,,,,,
,6,2019-07-01,1,TRUE,30000,UAH,1,*order91,,,,,,,,,,,
,6,2019-07-02,1,TRUE,30000,UAH,1,*order92,,,,,,,,,,,
,6,2019-07-03,1,TRUE,30000,UAH,1,*order92,,,,,,,,,,,
,6,2019-07-04,1,TRUE,30000,UAH,1,*order93,,,,,,,,,,,
,6,2019-07-05,1,TRUE,30000,UAH,1,*order93,,,,,,,,,,,
,6,2019-07-06,1,TRUE,30000,UAH,1,*order94,,,,,,,,,,,
,6,2019-07-07,1,TRUE,30000,UAH,1,*order94,,,,,,,,,,,
,6,2019-07-08,1,TRUE,30000,UAH,1,*order95,,,,,,,,,,,
,6,2019-07-09,1,TRUE,30000,UAH,1,*order95,,,,,,,,,,,
,6,2019-07-10,1,TRUE,30000,UAH,1,*order96,,,,,,,,,,,
,6,2019-07-11,1,TRUE,30000,UAH,1,*order96,,,,,,,,,,,
,6,2019-07-12,1,TRUE,30000,UAH,1,*order97,,,,,,,,,,,
,6,2019-07-13,1,TRUE,30000,UAH,1,*order97,,,,,,,,,,,
,6,2019-07-14,1,TRUE,30000,UAH,1,*order98,,,,,,,,,,,
,6,2019-07-15,1,TRUE,30000,UAH,1,*order98,,,,,,,,,,,
,6,2019-07-16,1,TRUE,30000,UAH,1,*order99,,,,,,,,,,,
,6,2019-07-17,1,TRUE,30000,UAH,1,*order99,,,,,,,,,,,
,6,2019-07-18,1,TRUE,30000,UAH,1,*order100,,,,,,,,,,,
,6,2019-07-19,1,TRUE,30000,UAH,1,*order100,,,,,,,,,,,
,6,2019-07-20,1,TRUE,30000,UAH,1,*order101,,,,,,,,,,,
,6,2019-07-21,1,TRUE,30000,UAH,1,*order101,,,,,,,,,,,
,6,2019-07-22,1,TRUE,30000,UAH,1,*order102,,,,,,,,,,,
,6,2019-07-23,1,TRUE,30000,UAH,1,*order102,,,,,,,,,,,
,6,2019-07-24,1,TRUE,30000,UAH,1,*order103,,,,,,,,,,,
,6,2019-07-25,1,TRUE,30000,UAH,1,*order103,,,,,,,,,,,
,6,2019-07-26,1,TRUE,30000,UAH,1,*order104,,,,,,,,,,,
,6,2019-07-27,1,TRUE,30000,UAH,1,*order104,,,,,,,,,,,
,6,2019-07-28,1,TRUE,30000,UAH,1,*order105,,,,,,,,,,,
,6,2019-07-29,1,TRUE,30000,UAH,1,*order105,,,,,,,,,,,
,6,2019-07-30,1,TRUE,30000,UAH,1,*order106,,,,,,,,,,,
,6,2019-07-31,1,TRUE,30000,UAH,1,*order106,,,,,,,,,,,
,6,2019-08-01,1,TRUE,30000,UAH,1,*order107,,,,,,,,,,,
,6,2019-08-02,1,TRUE,30000,UAH,1,*order107,,,,,,,,,,,
,6,2019-08-03,1,TRUE,30000,UAH,1,*order108,,,,,,,,,,,
,6,2019-08-04,1,TRUE,30000,UAH,1,*order108,,,,,,,,,,,
,6,2019-08-05,1,TRUE,30000,UAH,1,*order109,,,,,,,,,,,
,6,2019-08-06,1,TRUE,30000,UAH,1,*order109,,,,,,,,,,,
,6,2019-08-07,1,TRUE,30000,UAH,1,*order110,,,,,,,,,,,
,6,2019-08-08,1,TRUE,30000,UAH,1,*order110,,,,,,,,,,,
,6,2019-08-09,1,TRUE,30000,UAH,1,*order111,,,,,,,,,,,
,6,2019-08-10,1,TRUE,30000,UAH,1,*order111,,,,,,,,,,,
,6,2019-08-11,1,TRUE,30000,UAH,1,*order112,,,,,,,,,,,
,6,2019-08-12,1,TRUE,30000,UAH,1,*order112,,,,,,,,,,,
,6,2019-08-13,1,TRUE,30000,UAH,1,*order113,,,,,,,,,,,
,6,2019-08-14,1,TRUE,30000,UAH,1,*order113,,,,,,,,,,,
,6,2019-08-15,1,TRUE,30000,UAH,1,*order114,,,,,,,,,,,
,6,2019-08-16,1,TRUE,30000,UAH,1,*order114,,,,,,,,,,,
,6,2019-08-17,1,TRUE,30000,UAH,1,*order115,,,,,,,,,,,
,6,2019-08-18,1,TRUE,30000,UAH,1,*order115,,,,,,,,,,,
,6,2019-08-19,1,TRUE,30000,UAH,1,*order116,,,,,,,,,,,
,6,2019-08-20,1,TRUE,30000,UAH,1,*order116,,,,,,,,,,,
,6,2019-08-21,1,TRUE,30000,UAH,1,*order117,,,,,,,,,,,
,6,2019-08-22,1,TRUE,30000,UAH,1,*order117,,,,,,,,,,,
,6,2019-08-23,1,TRUE,30000,UAH,1,*order118,,,,,,,,,,,
,6,2019-08-24,1,TRUE,30000,UAH,1,*order118,,,,,,,,,,,
,6,2019-08-25,1,TRUE,30000,UAH,1,*order119,,,,,,,,,,,
,6,2019-08-26,1,TRUE,30000,UAH,1,*order119,,,,,,,,,,,
,6,2019-08-27,1,TRUE,30000,UAH,1,*order120,,,,,,,,,,,
,6,2019-08-28,1,TRUE,30000,UAH,1,*order120,,,,,,,,,,,
,6,2019-08-29,1,TRUE,30000,UAH,1,*order121,,,,,,,,,,,
,6,2019-08-30,1,TRUE,30000,UAH,1,*order121,,,,,,,,,,,
,6,2019-08-31,1,TRUE,30000,UAH,1,*order122,,,,,,,,,,,
,6,2019-09-01,1,TRUE,30000,UAH,1,*order122,,,,,,,,,,,
,6,2019-09-02,1,TRUE,30000,UAH,1,*order123,,,,,,,,,,,
,6,2019-09-03,1,TRUE,30000,UAH,1,*order123,,,,,,,,,,,
,6,2019-09-04,1,TRUE,30000,UAH,1,*order124,,,,,,,,,,,
,6,2019-09-05,1,TRUE,30000,UAH,1,*order124,,,,,,,,,,,
,6,2019-09-06,1,TRUE,30000,UAH,1,*order125,,,,,,,,,,,
,6,2019-09-07,1,TRUE,30000,UAH,1,*order125,,,,,,,,,,,
,6,2019-09-08,1,TRUE,30000,UAH,1,*order126,,,,,,,,,,,
,6,2019-09-09,1,TRUE,30000,UAH,1,*order126,,,,,,,,,,,
,6,2019-09-10,1,TRUE,30000,UAH,1,*order127,,,,,,,,,,,
,6,2019-09-11,1,TRUE,30000,UAH,1,*order127,,,,,,,,,,,
,6,2019-09-12,1,TRUE,30000,UAH,1,*order128,,,,,,,,,,,
,6,2019-09-13,1,TRUE,30000,UAH,1,*order128,,,,,,,,,,,
,6,2019-09-14,1,TRUE,30000,UAH,1,*order129,,,,,,,,,,,
,6,2019-09-15,1,TRUE,30000,UAH,1,*order129,,,,,,,,,,,
,6,2019-09-16,1,TRUE,30000,UAH,1,*order130,,,,,,,,,,,
,6,2019-09-17,1,TRUE,30000,UAH,1,*order130,,,,,,,,,,,
,6,2019-09-18,1,TRUE,30000,UAH,1,*order131,,,,,,,,,,,
,6,2019-09-19,1,TRUE,30000,UAH,1,*order131,,,,,,,,,,,
,6,2019-09-20,1,TRUE,30000,UAH,1,*order132,,,,,,,,,,,
,6,2019-09-21,1,TRUE,30000,UAH,1,*order132,,,,,,,,,,,
,6,2019-09-22,1,TRUE,30000,UAH,1,*order133,,,,,,,,,,,
,6,2019-09-23,1,TRUE,30000,UAH,1,*order133,,,,,,,,,,,
,6,2019-09-24,1,TRUE,30000,UAH,1,*order134,,,,,,,,,,,
,6,2019-09-25,1,TRUE,30000,UAH,1,*order134,,,,,,,,,,,
,6,2019-09-26,1,TRUE,30000,UAH,1,*order135,,,,,,,,,,,
,6,2019-09-27,1,TRUE,30000,UAH,1,*order135,,,,,,,,,,,
,6,2019-09-28,1,TRUE,30000,UAH,1,*order136,,,,,,,,,,,
,6,2019-09-29,1,TRUE,30000,UAH,1,*order136,,,,,,,,,,,
,6,2019-09-30,1,TRUE,30000,UAH,1,*order137,,,,,,,,,,,
,6,2019-10-01,1,TRUE,30000,UAH,1,*order137,,,,,,,,,,,
,6,2019-10-02,1,TRUE,30000,UAH,1,*order138,,,,,,,,,,,
,6,2019-10-03,1,TRUE,30000,UAH,1,*order138,,,,,,,,,,,
,6,2019-10-04,1,TRUE,30000,UAH,1,*order139,,,,,,,,,,,
,6,2019-10-05,1,TRUE,30000,UAH,1,*order139,,,,,,,,,,,
,6,2019-10-06,1,TRUE,30000,UAH,1,*order140,,,,,,,,,,,
,6,2019-10-07,1,TRUE,30000,UAH,1,*order140,,,,,,,,,,,
,6,2019-10-08,1,TRUE,30000,UAH,1,*order141,,,,,,,,,,,
,6,2019-10-09,1,TRUE,30000,UAH,1,*order141,,,,,,,,,,,
,6,2019-10-10,1,TRUE,30000,UAH,1,*order142,,,,,,,,,,,
,6,2019-10-11,1,TRUE,30000,UAH,1,*order142,,,,,,,,,,,
,6,2019-10-12,1,TRUE,30000,UAH,1,*order143,,,,,,,,,,,
,6,2019-10-13,1,TRUE,30000,UAH,1,*order143,,,,,,,,,,,
,6,2019-10-14,1,TRUE,30000,UAH,1,*order144,,,,,,,,,,,
,6,2019-10-15,1,TRUE,30000,UAH,1,*order144,,,,,,,,,,,
,6,2019-10-16,1,TRUE,30000,UAH,1,*order145,,,,,,,,,,,
,6,2019-10-17,1,TRUE,30000,UAH,1,*order145,,,,,,,,,,,
,6,2019-10-18,1,TRUE,30000,UAH,1,*order146,,,,,,,,,,,
,6,2019-10-19,1,TRUE,30000,UAH,1,*order146,,,,,,,,,,,
,6,2019-10-20,1,TRUE,30000,UAH,1,*order147,,,,,,,,,,,
,6,2019-10-21,1,TRUE,30000,UAH,1,*order147,,,,,,,,,,,
,6,2019-10-22,1,TRUE,30000,UAH,1,*order148,,,,,,,,,,,
,6,2019-10-23,1,TRUE,30000,UAH,1,*order148,,,,,,,,,,,
,6,2019-10-24,1,TRUE,30000,UAH,1,*order149,,,,,,,,,,,
,6,2019-10-25,1,TRUE,30000,UAH,1,*order149,,,,,,,,,,,
,6,2019-10-26,1,TRUE,30000,UAH,1,*order150,,,,,,,,,,,
,6,2019-10-27,1,TRUE,30000,UAH,1,*order150,,,,,,,,,,,
,6,2019-10-28,1,TRUE,30000,UAH,1,*order151,,,,,,,,,,,
,6,2019-10-29,1,TRUE,30000,UAH,1,*order151,,,,,,,,,,,
,6,2019-10-30,1,TRUE,30000,UAH,1,*order152,,,,,,,,,,,
,6,2019-10-31,1,TRUE,30000,UAH,1,*order152,,,,,,,,,,,
,6,2019-11-01,1,TRUE,30000,UAH,1,*order153,,,,,,,,,,,
,6,2019-11-02,1,TRUE,30000,UAH,1,*order153,,,,,,,,,,,
,6,2019-11-03,1,TRUE,30000,UAH,1,*order154,,,,,,,,,,,
,6,2019-11-04,1,TRUE,30000,UAH,1,*order154,,,,,,,,,,,
,6,2019-11-05,1,TRUE,30000,UAH,1,*order155,,,,,,,,,,,
,6,2019-11-06,1,TRUE,30000,UAH,1,*order155,,,,,,,,,,,
,6,2019-11-07,1,TRUE,30000,UAH,1,*order156,,,,,,,,,,,
,6,2019-11-08,1,TRUE,30000,UAH,1,*order156,,,,,,,,,,,
,6,2019-11-09,1,TRUE,30000,UAH,1,*order157,,,,,,,,,,,
,6,2019-11-10,1,TRUE,30000,UAH,1,*order157,,,,,,,,,,,
,6,2019-11-11,1,TRUE,30000,UAH,1,*order158,,,,,,,,,,,
,6,2019-11-12,1,TRUE,30000,UAH,1,*order158,,,,,,,,,,,
,6,2019-11-13,1,TRUE,30000,UAH,1,*order159,,,,,,,,,,,
,6,2019-11-14,1,TRUE,30000,UAH,1,*order159,,,,,,,,,,,
,6,2019-11-15,1,TRUE,30000,UAH,1,*order160,,,,,,,,,,,
,6,2019-11-16,1,TRUE,30000,UAH,1,*order160,,,,,,,,,,,
,6,2019-11-17,1,TRUE,30000,UAH,1,*order161,,,,,,,,,,,
,6,2019-11-18,1,TRUE,30000,UAH,1,*order161,,,,,,,,,,,
,6,2019-11-19,1,TRUE,30000,UAH,1,*order162,,,,,,,,,,,
,6,2019-11-20,1,TRUE,30000,UAH,1,*order162,,,,,,,,,,,
,6,2019-11-21,1,TRUE,30000,UAH,1,*order163,,,,,,,,,,,
,6,2019-11-22,1,TRUE,30000,UAH,1,*order163,,,,,,,,,,,
,6,2019-11-23,1,TRUE,30000,UAH,1,*order164,,,,,,,,,,,
,6,2019-11-24,1,TRUE,30000,UAH,1,*order164,,,,,,,,,,,
,6,2019-11-25,1,TRUE,30000,UAH,1,*order165,,,,,,,,,,,
,6,2019-11-26,1,TRUE,30000,UAH,1,*order165,,,,,,,,,,,
,6,2019-11-27,1,TRUE,30000,UAH,1,*order166,,,,,,,,,,,
,6,2019-11-28,1,TRUE,30000,UAH,1,*order166,,,,,,,,,,,
,6,2019-11-29,1,TRUE,30000,UAH,1,*order167,,,,,,,,,,,
,6,2019-11-30,1,TRUE,30000,UAH,1,*order167,,,,,,,,,,,
,6,2019-12-01,1,TRUE,30000,UAH,1,*order168,,,,,,,,,,,
,6,2019-12-02,1,TRUE,30000,UAH,1,*order168,,,,,,,,,,,
,6,2019-12-03,1,TRUE,30000,UAH,1,*order169,,,,,,,,,,,
,6,2019-12-04,1,TRUE,30000,UAH,1,*order169,,,,,,,,,,,
,6,2019-12-05,1,TRUE,30000,UAH,1,*order170,,,,,,,,,,,
,6,2019-12-06,1,TRUE,30000,UAH,1,*order170,,,,,,,,,,,
,6,2019-12-07,1,TRUE,30000,UAH,1,*order171,,,,,,,,,,,
,6,2019-12-08,1,TRUE,30000,UAH,1,*order171,,,,,,,,,,,
,6,2019-12-09,1,TRUE,30000,UAH,1,*order172,,,,,,,,,,,
,6,2019-12-10,1,TRUE,30000,UAH,1,*order172,,,,,,,,,,,
,6,2019-12-11,1,TRUE,30000,UAH,1,*order173,,,,,,,,,,,
,6,2019-12-12,1,TRUE,30000,UAH,1,*order173,,,,,,,,,,,
,6,2019-12-13,1,TRUE,30000,UAH,1,*order174,,,,,,,,,,,
,6,2019-12-14,1,TRUE,30000,UAH,1,*order174,,,,,,,,,,,
,6,2019-12-15,1,TRUE,30000,UAH,1,*order175,,,,,,,,,,,
,6,2019-12-16,1,TRUE,30000,UAH,1,*order175,,,,,,,,,,,
,6,2019-12-17,1,TRUE,30000,UAH,1,*order176,,,,,,,,,,,
,6,2019-12-18,1,TRUE,30000,UAH,1,*order176,,,,,,,,,,,
,6,2019-12-19,1,TRUE,30000,UAH,1,*order177,,,,,,,,,,,
,6,2019-12-20,1,TRUE,30000,UAH,1,*order177,,,,,,,,,,,
,6,2019-12-21,1,TRUE,30000,UAH,1,*order178,,,,,,,,,,,
,6,2019-12-22,1,TRUE,30000,UAH,1,*order178,,,,,,,,,,,
,6,2019-12-23,1,TRUE,30000,UAH,1,*order179,,,,,,,,,,,
,6,2019-12-24,1,TRUE,30000,UAH,1,*order179,,,,,,,,,,,
,6,2019-12-25,1,TRUE,30000,UAH,1,*order180,,,,,,,,,,,
,6,2019-12-26,1,TRUE,30000,UAH,1,*order180,,,,,,,,,,,
,6,2019-12-27,1,TRUE,30000,UAH,1,*order181,,,,,,,,,,,
,6,2019-12-28,1,TRUE,30000,UAH,1,*order181,,,,,,,,,,,
,6,2019-12-29,1,TRUE,30000,UAH,1,*order182,,,,,,,,,,,
,6,2019-12-30,1,TRUE,30000,UAH,1,*order182,,,,,,,,,,,
,6,2019-12-31,1,TRUE,30000,UAH,1,*order183,,,,,,,,,,,
,6,2020-01-01,1,TRUE,30000,UAH,1,*order183,,,,,,,,,,,
